feature,attribution
Gaze_Point_Euclidean_Distance,0.12496467
Ratio_World_Gaze_Direction_X,0.12183078
Gaze_Direction_X_Ratio,0.118637055
Delta_Gaze_Y,0.117597915
Gaze_Point_Depth_Difference,0.11707125
Ratio_World_Gaze_Direction_Y,0.11647089
Angular_Difference_X,0.11600668
Relative_Change_Vergence_Angle,0.11514167
Directional_Magnitude_R,0.1147994
Gaze_Direction_Y_Ratio,0.11418963
Directional_Magnitude_Ratio,0.11406793
World_Gaze_Origin_R_Z,0.11298329
Gaze_Direction_Angle,0.11253673
World_Gaze_Direction_R_Y,0.10891071
Vergence_Angle,0.10886874
Ratio_World_Gaze_Direction_Z,0.10863117
Gaze_Direction_Z_Ratio,0.108122736
World_Gaze_Direction_L_Z,0.10760993
World_Gaze_Direction_L_X,0.107373565
Gaze_Point_Distance,0.106023856
Acceleration_Gaze_Direction_R_X,0.10566122
World_Gaze_Direction_R_Z,0.10557034
Velocity_Gaze_Direction_R_X,0.1051308
Cosine_Angles,0.10497723
Vergence_Depth,0.103663385
World_Gaze_Direction_L_Y,0.10185544
World_Gaze_Origin_L_X,0.101753674
Gaze_Vector_Angle,0.10174905
World_Gaze_Origin_L_Z,0.10110261
World_Gaze_Direction_R_X,0.10105987
Normalized_Vergence_Angle,0.10071244
Delta_Gaze_X,0.099536635
Delta_Gaze_Z,0.099262714
Ratio_Directional_Magnitude,0.09914988
Ratio_Delta_Gaze_XY,0.09876194
Angular_Difference_Gaze_Directions,0.09765515
Directional_Magnitude_L,0.09699875
World_Gaze_Origin_R_X,0.095004246
